endTime,artistName,trackName,msPlayed
2019-11-01 20:32,Barenaked Ladies,God Rest Ye Merry Gentlemen / We Three Kings,12012
2019-11-01 23:29,Here's The Thing,Pastor calls women sexy at a funeral?! ,329467
2019-11-02 16:04,Here's The Thing,Pastor calls women sexy at a funeral?! ,7476
2019-11-02 18:47,The Joe Budden Podcast with Rory & Mal..,"Episode 294 | ""The Blanket Castle""",3385571
2019-11-04 01:41,The Joe Budden Podcast with Rory & Mal..,"Episode 294 | ""The Blanket Castle""",4245817
2019-11-04 12:47,The Joe Budden Podcast with Rory & Mal..,"Episode 294 | ""The Blanket Castle""",111296
2019-11-04 12:52,Destiny's Child,O' Holy Night (feat. Michelle Williams),263666
2019-11-04 12:56,Destiny's Child,Spread A Little Love On Christmas Day,221133
2019-11-04 17:40,Destiny's Child,Carol of the Bells a.k.a Opera of the Bells,1787
2019-11-04 17:40,Destiny's Child,This Christmas,73564
2019-11-04 17:40,The Shins,Wonderful Christmastime,7128
2019-11-04 17:43,Destiny's Child,Platinum Bells,4829
2019-11-04 17:43,Whitney Houston,The First Noël,156200
2019-11-04 17:43,Chris Brown,This X-Mas (feat. Ella Mai),10448
2019-11-04 17:43,Barenaked Ladies,God Rest Ye Merry Gentlemen / We Three Kings,1509
2019-11-04 17:44,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],19040
2019-11-04 17:47,Young Thug,Hot (feat. Gunna),193026
2019-11-04 17:49,DJ Drama,Nasty,16346
2019-11-04 17:49,Travis Scott,HIGHEST IN THE ROOM,130275
2019-11-04 17:50,Pop Smoke,Welcome To The Party (feat. Nicki MInaj) - Remix,61881
2019-11-04 17:50,DJ Scheme,How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),4202
2019-11-04 17:50,RJMrLA,Pretty Bitches (feat. G-Eazy & Bree Carter),1857
2019-11-04 17:50,Yo Gotti,Pose (feat. Megan Thee Stallion & Lil Uzi Vert),1091
2019-11-04 17:54,Trouble,Ain't My Fault,3482
2019-11-04 17:54,Mustard,Pure Water (with Migos),1555
2019-11-04 17:54,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),1323
2019-11-04 17:54,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",2530
2019-11-04 17:54,83 Babies,No Cap (feat. Rich The Kid),194977
2019-11-04 17:54,Dame D.O.L.L.A,Money Ball,1230
2019-11-04 17:55,Ambjaay,Uno,26215
2019-11-04 17:55,NLE Choppa,Shotta Flow 3,57539
2019-11-04 17:58,Future,Undefeated (feat. Lil Keed),1393
2019-11-04 17:58,G-Eazy,I Wanna Rock (feat. Gunna),5712
2019-11-04 17:58,Kash Doll,Ready Set (feat. Big Sean),2066
2019-11-04 17:58,City Girls,JT First Day Out,156107
2019-11-04 17:58,Internet Money,Somebody,6130
2019-11-04 17:58,Tyga,Bop,1555
2019-11-04 17:58,Lil Mosey,Stuck In A Dream (feat. Gunna),1880
2019-11-04 18:00,Roddy Ricch,Start Wit Me (feat. Gunna),1625
2019-11-04 18:00,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),133398
2019-11-04 18:00,Doja Cat,Juicy,859
2019-11-04 18:03,Roddy Ricch,Start Wit Me (feat. Gunna),142082
2019-11-04 18:03,Doja Cat,Juicy,1996
2019-11-04 18:05,Quality Control,Big Rocks (Offset feat. Young Thug),144000
2019-11-04 19:17,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London on Da Track),151481
2019-11-04 19:19,YoungBoy Never Broke Again,Make No Sense,148629
2019-11-04 19:22,YoungBoy Never Broke Again,Make No Sense,618
2019-11-04 19:22,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London on Da Track),960
2019-11-04 19:22,Quality Control,Big Rocks (Offset feat. Young Thug),1237
2019-11-04 19:22,Young Dolph,Water on Water on Water,7268
2019-11-04 19:22,NLE Choppa,Camelot,853
2019-11-04 19:22,NLE Choppa,Camelot,148759
2019-11-05 03:44,Bodega Boys,Ep 177: 7/11 Straws,20970
2019-11-05 12:58,Tyga,MAMACITA,2069
2019-11-05 12:58,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],3029
2019-11-05 12:58,J. Cole,Motiv8,13781
2019-11-05 12:58,Bodega Boys,Ep 177: 7/11 Straws,2817600
2019-11-05 13:01,DaBaby,BOP,159714
2019-11-05 13:03,Megan Thee Stallion,"Ride Or Die - From ""Queen & Slim: The Soundtrack""",123200
2019-11-05 13:05,YoungBoy Never Broke Again,Make No Sense,148629
2019-11-05 13:08,Travis Scott,HIGHEST IN THE ROOM,175720
2019-11-05 13:10,NLE Choppa,Camelot,125668
2019-11-05 13:11,Megan Thee Stallion,Cash Shit (feat. DaBaby),1408
2019-11-05 13:11,Moneybagg Yo,All Dat (with Megan Thee Stallion),2752
2019-11-05 13:11,Bankroll Freddie,Drip Like Dis,15616
2019-11-05 13:11,Casanova,Woah (feat. Jeremih),1280
2019-11-05 13:11,DaBaby,BOP,1173
2019-11-05 13:11,Big Sean,Bezerk (feat. A$AP Ferg),831
2019-11-05 13:11,Young M.A,She Like I'm Like,768
2019-11-05 13:11,Polo G,Pop Out (feat. Lil Tjay),1045
2019-11-05 13:11,Blueface,Bussin (feat. Lil Pump),1173
2019-11-05 13:11,Lil Nas X,Panini - DaBaby Remix,725
2019-11-05 13:11,Sueco the Child,fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],810
2019-11-05 13:11,Mulatto,B*tch From Da Souf,1237
2019-11-05 13:11,A$AP Ferg,Jet Lag,618
2019-11-05 13:11,A$AP Ferg,Jet Lag,1365
2019-11-05 13:11,BlocBoy JB,ChopBloc 2 (feat. NLE Choppa),810
2019-11-05 13:11,Young Thug,Bad Bad Bad (feat. Lil Baby),8640
2019-11-05 13:15,Quality Control,Intro,215345
2019-11-05 13:17,YG,Go Loko,166106
2019-11-05 13:19,Lil Tecca,Did It Again,116240
2019-11-05 13:20,Yo Gotti,Pose (feat. Lil Uzi Vert),7569
2019-11-05 13:23,French Montana,Suicide Doors (feat. Gunna),215824
2019-11-05 13:25,Lil Tecca,Love Me,117013
2019-11-05 20:22,Bodega Boys,Ep 177: 7/11 Straws,4789845
2019-11-05 22:00,True Crime Obsessed,108: Screwball,1908748
2019-11-05 22:11,French Montana,Twisted (feat. Logic & A$AP Rocky),2948
2019-11-05 22:11,PnB Rock,Fendi (feat. Nicki Minaj & Murda Beatz),2647
2019-11-05 22:11,A$AP Rocky,Babushka Boi,1137
2019-11-05 22:11,Offset,Clout (feat. Cardi B),67375
2019-11-05 22:11,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],2368
2019-11-05 22:11,Lil' Kim,Found You,1044
2019-11-05 22:11,Fat Joe,YES,1207
2019-11-05 22:12,24kGoldn,VALENTINO,17461
2019-11-05 22:15,A Boogie Wit da Hoodie,Mood Swings,3413
2019-11-05 22:15,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",1079
2019-11-05 22:15,Hitmaka,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",1091
2019-11-05 22:15,Rubi Rose,Hit Yo Dance (feat. Yella Beezy & NLE Choppa),1486
2019-11-05 22:15,Lil Tecca,Shots,1718
2019-11-05 22:15,Guapdad 4000,Stuck With It (feat. Tory Lanez),3250
2019-11-05 22:15,Chance the Rapper,Hot Shower,1068
2019-11-05 22:15,O.T. Genasis,Big Shot (feat. Mustard),4156
2019-11-05 22:15,Young Thug,Hot (feat. Gunna),193026
2019-11-05 22:15,Tyla Yaweh,I Think I Luv Her (feat. YG),1555
2019-11-05 22:16,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],1509
2019-11-05 22:16,Young Thug,The London (feat. J. Cole & Travis Scott),1486
2019-11-05 22:16,T.R.U.,Shoot It Out (feat. Worl & Hott LockedN),2670
2019-11-05 22:16,Hitmaka,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",1068
2019-11-05 22:16,Young M.A,BIG,1184
2019-11-05 22:16,Swae Lee,Won't Be Late (feat. Drake),1416
2019-11-05 22:16,Chris Brown,No Guidance (feat. Drake),2043
2019-11-05 22:16,DaniLeigh,Cravin (feat. G-Eazy),3854
2019-11-05 22:16,Blac Youngsta,Cut Up (feat. Tory Lanez) - Remix,1369
2019-11-05 22:16,Quin Nfn,Poles,1114
2019-11-05 22:16,Tyla Yaweh,I Think I Luv Her (feat. YG),42608
2019-11-05 22:18,J. Cole,MIDDLE CHILD,135488
2019-11-05 22:19,NAV,Tap (feat. Meek Mill),13839
2019-11-05 22:22,Kid Ink,Bats Fly (feat. Rory Fresco),221818
2019-11-05 22:24,Lil Tecca,Ransom (with Juice WRLD) - Remix,3413
2019-11-05 22:24,A$AP Ferg,WAM,4040
2019-11-05 22:24,Baby Keem,ORANGE SODA,1578
2019-11-05 22:24,Fabolous,Choosy (feat. Jeremih & Davido),1741
2019-11-05 22:24,O.T. Genasis,When I Get It (feat. Young Thug),91197
2019-11-05 22:24,Trippie Redd,Mac 10,18692
2019-11-05 22:24,Post Malone,Enemies (feat. DaBaby),7151
2019-11-05 22:25,Gucci Mane,Big Booty (feat. Megan Thee Stallion),4481
2019-11-05 22:25,Baby Keem,Baby Keem,4760
2019-11-05 22:25,Russ,BEST ON EARTH (feat. BIA) - Bonus,5874
2019-11-05 22:25,Roddy Ricch,Big Stepper,10657
2019-11-05 22:28,Quality Control,"Pink Toes (Offset, DaBaby feat. Gunna)",205612
2019-11-05 22:28,DaBaby,Suge,2298
2019-11-05 22:31,Quality Control,Double Trouble (Quavo feat. Meek Mill),164188
2019-11-05 22:31,Juice WRLD,Bandit (with YoungBoy Never Broke Again),1996
2019-11-05 22:34,DJ Drama,Nasty,1416
2019-11-05 22:34,Kash Doll,Ready Set (feat. Big Sean),1718
2019-11-05 22:34,Wale,Routine (feat. Rick Ross & Meek Mill),3204
2019-11-05 22:34,Pop Smoke,Welcome To The Party (feat. Nicki MInaj) - Remix,1602
2019-11-05 22:34,NLE Choppa,Shotta Flow 3,2995
2019-11-05 22:34,DaBaby,VIBEZ,144935
2019-11-05 22:34,Dame D.O.L.L.A,Money Ball,1532
2019-11-05 22:34,Drake,Money In The Grave (Drake ft. Rick Ross),5889
2019-11-05 22:36,Future,Undefeated (feat. Lil Keed),975
2019-11-05 22:36,G-Eazy,I Wanna Rock (feat. Gunna),1207
2019-11-05 22:36,Tyga,MAMACITA,1137
2019-11-05 22:36,Mustard,Pure Water (with Migos),1044
2019-11-05 22:36,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London on Da Track),1323
2019-11-05 22:36,Young Dolph,Water on Water on Water,1184
2019-11-05 22:36,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),882
2019-11-05 22:36,Polo G,Pop Out (feat. Lil Tjay),1091
2019-11-05 22:36,RJMrLA,Pretty Bitches (feat. G-Eazy & Bree Carter),859
2019-11-05 22:36,83 Babies,No Cap (feat. Rich The Kid),116285
2019-11-05 22:36,Lil Mosey,Stuck In A Dream (feat. Gunna),1021
2019-11-05 22:38,Future,Undefeated (feat. Lil Keed),2345
2019-11-05 22:38,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London on Da Track),99381
2019-11-05 22:38,DJ Scheme,How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),2321
2019-11-05 22:38,BlocBoy JB,ChopBloc 2 (feat. NLE Choppa),1671
2019-11-05 22:38,Young Thug,Bad Bad Bad (feat. Lil Baby),1207
2019-11-05 22:39,Young Thug,Bad Bad Bad (feat. Lil Baby),40356
2019-11-05 22:40,Trouble,Ain't My Fault,3761
2019-11-05 22:40,Tyga,Bop,1253
2019-11-05 22:40,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",2136
2019-11-05 22:40,Young Thug,Bad Bad Bad (feat. Lil Baby),58073
2019-11-05 22:43,City Girls,JT First Day Out,187679
2019-11-05 22:43,Blueface,Bussin (feat. Lil Pump),1411
2019-11-05 22:45,Moneybagg Yo,All Dat (with Megan Thee Stallion),1664
2019-11-05 22:45,Megan Thee Stallion,"Ride Or Die - From ""Queen & Slim: The Soundtrack""",123200
2019-11-05 22:45,Yo Gotti,Pose (feat. Megan Thee Stallion & Lil Uzi Vert),2809
2019-11-05 22:47,Travis Scott,HIGHEST IN THE ROOM,144822
2019-11-05 22:47,Lil Nas X,Panini - DaBaby Remix,1091
2019-11-05 22:48,Sueco the Child,fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],1137
2019-11-05 22:49,A$AP Ferg,Jet Lag,117794
2019-11-05 22:50,Yo Gotti,Pose (feat. Lil Uzi Vert),2391
2019-11-05 23:01,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),129684
2019-11-05 23:04,YoungBoy Never Broke Again,Make No Sense,145240
2019-11-05 23:04,Internet Money,Somebody,1044
2019-11-05 23:06,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",1972
2019-11-05 23:06,Ambjaay,Uno,1277
2019-11-05 23:06,Fat Joe,YES,21617
